,Title,Employee,Location,type,Expire_date,catogry
79,Intern - Technical,John Keells Office Automation (Pvt) Ltd.,Colombo,Full-Time,19/05/2022 ,business-management
80,Dynamics CRM Consultant,IPD Colombo,Colombo,Full-Time,27/05/2022 ,business-management
81,Branch Managers / In - Charge,Asia Asset Finance PLC,"Colombo,Kandy,Jaff...",Full-Time,27/05/2022 ,business-management
82,Business Analyst	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
83,Digital Marketing Executives,College of Contract Management United Kingdom,Colombo,Permanent,27/05/2022 ,business-management
84,Sales Executive ,NextEn (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,business-management
85,Senior Business Analyst	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
86,Sales & Marketing Executives ,Lion Express,Colombo,Full-Time,27/05/2022 ,business-management
87,Product Owner	,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
88,Showroom Managers/Showroom Staffs,Aroma Bliss Ceylon,Colombo,Full-Time,27/05/2022 ,business-management
89,Product Owner - VoiceIQ,KandianPro Pvt Ltd,Colombo,Full-Time,27/05/2022 ,business-management
90,Senior - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
91,Local Purchasing Executive - Male,Abans PLC,Colombo,Full-Time,27/05/2022 ,business-management
92,Assistant Manager - Consulting Administrative Support Assistant ,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
93,Senior - Consulting Data Analytics Testing,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
94,Financial Controller,Beijing Enterprises Water Group Limited,Colombo,Full-Time,27/05/2022 ,business-management
95,Audit Executive,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,business-management
96,Consulting Administrative Support Assistant,EY Global Delivery Services,Colombo,Full-Time,27/05/2022 ,business-management
97,Senior Executive / Royalty Accountant,Adshare,Colombo,Full-Time,27/05/2022 ,business-management
98,Sales Executives - Moratuwa,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,27/05/2022 ,business-management
99,Investment Analyst,Commercial Bank of Ceylon PLC,Colombo,Full-Time,27/05/2022 ,business-management
100,Trainee Sales Officers - Uva Province,Dialog Finance PLC,"Badulla,Moneragala",Full-Time,27/05/2022 ,business-management
101,"Internship Opportunity (Marketing, Internal Audit, Human Resources)",ICT Agency of Sri Lanka,Colombo,Full-Time,27/05/2022 ,business-management
102,Sales Officers - Sabaragamuwa Province,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,27/05/2022 ,business-management
103,Junior Internal Auditor - Male,Java Institute For Advanced Technology,Colombo,Full-Time,20/05/2022 ,business-management
104,Relationship Manager - Corporate ,Ceylon Asset Management Co. Ltd,Colombo,Full-Time,27/05/2022 ,business-management
105,Portfolio Manager,Commercial Bank of Ceylon PLC,Colombo,Full-Time,27/05/2022 ,business-management
106,Fund Manager,Commercial Bank of Ceylon PLC,Colombo,Full-Time,27/05/2022 ,business-management
107,Assistant Manager – Inbound Tours (Male / Female),Star Quest Company (Pvt) Ltd ,Colombo,Full-Time,27/05/2022 ,business-management
108,Senior Assistant - Regulatory Compliance & Monitoring,Nations Trust Bank,Colombo,Full-Time,27/05/2022 ,business-management
109,Trainee Sales Officers - Sabaragamuwa Province ,Dialog Finance PLC,"Kegalle,Ratnapura",Full-Time,27/05/2022 ,business-management
110,Senior Executive - Group Financial Accounting and Reporting,Dialog Axiata PLC,Colombo,Full-Time,26/05/2022 ,business-management
111,Executive - Academic Programs Management | Battaramulla,BA Training Group,Colombo,Full-Time,27/05/2022 ,business-management
112,Manager - Recovery,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,business-management
113,External Trainers,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,business-management
114,Assistant Manager - Business Process Transformation,Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,business-management
115,Operations Manager - Customer Relationship Management,Company Name Withheld 250,Colombo,Full-Time,27/05/2022 ,business-management
116,Executive - Supply Chain,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,business-management
117,Supermarket Manager,Nawaloka Hospitals PLC,Colombo,Full-Time,27/05/2022 ,business-management
118,Procurement In charge - Sunbird Bioenergy Sierra Leon,LOLC Holdings PLC,Colombo,Full-Time,27/05/2022 ,business-management
119,Digital Transformation Officer,Asia Asset Finance PLC,Colombo,Full-Time,27/05/2022 ,business-management
120,Business Development Manager,Dialog Axiata PLC,Colombo,Full-Time,17/05/2022 ,business-management
121,Senior HR Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,business-management
122,"Senior Executive - Effectiveness, Process and Risk Management",Dialog Axiata PLC,Colombo,Full-Time,31/05/2022 ,business-management
123,Senior Procurement Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,27/05/2022 ,business-management
124,Collections Manager/ Head Manager/ Head Recoveries,A V Business Solutions Private Limited,Colombo,Full-Time,27/05/2022 ,business-management
125,Assistant Manager - Marketing - Kurunegala,Surado Campus (Pvt) Ltd,Kurunagala,Full-Time,27/05/2022 ,business-management
126,Senior Executive / Executive Administration - Rathmalana,Ideal Group,Colombo,Full-Time,27/05/2022 ,business-management
127,Senior Lecturer/ Lecturer Hospitality Management,Australasian Academy,Colombo,Full-Time,27/05/2022 ,business-management
128,ERP Executive,Ideal Group,Colombo,Full-Time,27/05/2022 ,business-management
129,Student Counsellors / Assistant Manager - Marketing,Australasian Academy,Colombo,Full-Time,27/05/2022 ,business-management
130,Junior Business Development Executive  - Female | Colombo,Medicheks Colombo (Pvt) Ltd,Colombo,Full-Time,26/05/2022 ,business-management
131,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,26/05/2022 ,business-management
