,Title,Employee,Location,type,Expire_date
73,Senior Sous Chef ,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
74,Network Planning Executive - Projects,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 
75,English Teacher / Assistant Lecturer,ESOL College,Colombo,Full-Time,25/05/2022 
76,Junior Operations Assistant - Chilaw,Citizens Development Business Finance PLC (CDB),Puttalam,Full-Time,25/05/2022 
77,Waiters,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
78,Restaurant Captain,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
79,Kitchen Stewards,Malay Fast Foods (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
80,Sales Officers ,Lesova Holdings (Pvt) Ltd.,Colombo,Full-Time,25/05/2022 
81,Staff Nurse - Endoscopy,Nawaloka Hospitals PLC,Colombo,Full-Time,25/05/2022 
82,Sales Coordinator - Female | Colombo / Kandy ,Rancrisp,"Colombo,Kandy",Full-Time,25/05/2022 
83,IT Executive,JF&I Packaging (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
84,Tele : Sales Executive,Lesova Holdings (Pvt) Ltd.,Colombo,Full-Time,25/05/2022 
85,Executives/ Trainees - Gold Loans ( Pawining Officers) ,Asia Asset Finance PLC,"Colombo,Badulla,Ke...",Full-Time,25/05/2022 
86,Internship Training Opportunities - Sales/Marketing,Dialog Finance PLC,Colombo,Full-Time,25/05/2022 
87,Sales Executive : Freight Forwarding,Kintetsu World Express Lanka (Pvt)Ltd,Colombo,Full-Time,25/05/2022 
88,Trainee Receptionists cum Telephone Operators - Female,Asia Asset Finance PLC,Colombo,Full-Time,25/05/2022 
89,Business Editor,Media Services (Private) Limited (LMD),Colombo,Full-Time,25/05/2022 
90,Relationship Executive,ONEPAY,Colombo,Full-Time,17/05/2022 
91,"බෙදා හැරිමේ නියෝජිතයින් - කොළඹ, ගම්පහ හා කළුතර  |  Distribution agents - Colombo",Appigo,Colombo,Full-Time,25/05/2022 
92,DevOps Engineer - Azure,Kognitiv Corporation,"Colombo,WorkingFro...",Full-Time,25/05/2022 
93,Deputy Relationship Manager - Branch Credit,Nations Trust Bank,Colombo,Full-Time,25/05/2022 
94,Marketing Professional,Media Services (Private) Limited (LMD),Colombo,Full-Time,25/05/2022 
95,Customer Service Executive : Freight Forwarding,Kintetsu World Express Lanka (Pvt)Ltd,Colombo,Full-Time,25/05/2022 
96,Technical Officer,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
97,Sales Executives / Assistant Business Promotion Manager / Business Promotion Manager ,Company Name Withheld 527,Colombo,Full-Time,25/05/2022 
98,DevOps Engineer - AWS,Kognitiv Corporation,"WorkingFromHome,I...",Full-Time,25/05/2022 
99,Senior DevOps Engineer - Azure,Kognitiv Corporation,"Colombo,WorkingFro...",Full-Time,25/05/2022 
100,Internship (Information Security / Information Technology Risk / Information System Auditing),Citizens Development Business Finance PLC (CDB),"Colombo,IslandWide",Full-Time,25/05/2022 
101,Software Engineer - Backend,Kognitiv Corporation,"WorkingFromHome,I...",Full-Time,25/05/2022 
102,IT Project Manager,Silk Road Partners (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
103,Senior Software Engineer - Java,Kognitiv Corporation,"Colombo,WorkingFro...",Full-Time,25/05/2022 
104,BMS Technician (Building Management Systems) / BMS කාර්මිකයින්  (ගොඩනැගිලි කළමනාකරණ පද්ධති),ASSOCIATED ENGINEERING,"ForeignJob,Island...",Contract Basis,25/05/2022 
105,පැස්සුම් කරුවන් - ඒකල | Welders - Ekala ,Solex Group of Companies,Gampaha,Full-Time,25/05/2022 
106,Assistant Vice President Change Manager - Global Data Services,HSBC Bank,Colombo,Full-Time,25/05/2022 
107,Software Engineer - API,Kognitiv Corporation,"WorkingFromHome,I...",Full-Time,25/05/2022 
108,Crew Member / Senior Crew Member | Katunayake - BIA,Burger King,Gampaha,Full-Time,25/05/2022 
109,Sales Executive ,Australian Talent Network,"Colombo,Anuradhapur...",Full-Time,25/05/2022 
110,Vehicle Sales Executives,Toyota Lanka,"Colombo,Gampaha",Full-Time,25/05/2022 
111,ඉදිකිරීම් යන්ත්‍රෝපකරණ පුහුණු NVQ 3 සහ 4 පාඨමාලා,Maga Neguma Road Construction Equipment Company,IslandWide,Other,25/05/2022 
112,Mobile Application Developer,Techscrolll (pvt) Ltd.,"Anuradhapura,Island...",Full-Time,25/05/2022 
113,Deputy Analyst (Junior Executive) - Talent Acquisition,Accenture Lanka,Colombo,Full-Time,25/05/2022 
114,Chef De Paritie / Commi I/II/III / Kitchen Trainees,Redbox,Colombo,Full-Time,25/05/2022 
115,Business Development Officers - Male,Reputed Bank In Sri Lanka,Colombo,Full-Time,25/05/2022 
116,ලෙත් / මිලින් මැෂින් ඔපරේටර්ස්වරුන් -  ඒකල / පෑලියගොඩ / ගනේමුල්ල | Lath / Milling Machine Operators - Ekala / Peliyagoda / Ganemulla,Solex Group of Companies,Gampaha,Full-Time,25/05/2022 
117,Field Agent / பயனர் கையகப்படுத்தும் முகவர் / පරිශීලක අත්පත් කර ගැනීමේ නියෝජිතයා,SUOL INNOVATIONS LTD ,Colombo,Full-Time,25/05/2022 
118,CAD Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 
119,Trainee Business Development Officers - Male,Reputed Bank In Sri Lanka,Colombo,Full-Time,25/05/2022 
120,රැකියා ඇබෑර්තු -  විදුලි කාර්මික ශිල්පීන් -  රාගම,Realty Management Services (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
121,Fund Accountant,HSBC Bank,Colombo,Full-Time,25/05/2022 
122,සහායක / Helper,Realty Management Services (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
123,Interior Designer ,Kitchen and Bedroom Pvt Ltd,Colombo,Full-Time,25/05/2022 
124,"සේවා උපදේශක - 2වීලර් / 3 වීලර් - පෑලියගොඩ, පානදුර | Service Advisor - 2 Wheeler / 3 Wheeler - Peliyagoda, Panadura",Abans PLC,"Gampaha,Kalutara",Full-Time,25/05/2022 
125,Sales Executive -Male,Furnex Global (PVT) LTD,Colombo,Full-Time,25/05/2022 
126,විදුලි කාර්මික ශිල්පීන්  /සිවිල් කාර්මික ශිල්පීන් /ජලනල කාර්මික ශිල්පීන් - කොළඹ / ජා-එලා,Realty Management Services (Pvt) Ltd,"Colombo,Gampaha",Full-Time,25/05/2022 
127,පිහිනුම් තටාක / ව්‍යායාම මධ්‍යස්ථාන සහයක  /  අධීක්‍ෂක / බහු කාර්යය කාර්මික ශිල්පීන් / විදුලි කාර්මික ශිල්පීන් | Swimming Pools / Fitness Center Assistants / Supervisors / Multipurpose Technicians / Electricians,Realty Management Services (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
128,Partner Acquisition Specialist - Male,The Jobhouse,Colombo,Full-Time,25/05/2022 
129,Assistant - Financial Crime Compliance (Transaction monitoring),Nations Trust Bank,Colombo,Full-Time,25/05/2022 
130,Field Collection Executives - ක්ෂේත්‍ර එකතු කිරීමේ විධායකයින්,Abans PLC,Colombo,Full-Time,25/05/2022 
131,Storekeeper | Nugegoda,Abans PLC,Colombo,Full-Time,25/05/2022 
132,"Merchandisers - Negombo, Chilaw, Nuwara Eliya, Hatton, Batticaloa, Galle, Matara, Ratnapura, Colombo",Abans PLC,"Colombo,Galle,Gamp...",Full-Time,25/05/2022 
133,Trainee / Electronic Technician,Abans PLC,Colombo,Full-Time,25/05/2022 
134,Cash Collector - Seeduwa / මුදල් අයකැමියන් - සීදුව,Abans PLC,Gampaha,Full-Time,25/05/2022 
135,ගබඩා භාරකරු / ගබඩා සහායකයා - කළුතර / සීදූව | Store Keeper / Store Helper - Kalutara / Seeduwa ,Abans PLC,"Gampaha,Kalutara",Full-Time,25/05/2022 
136,Showroom Sales Representatives - Male (Colombo),Abans PLC,Colombo,Full-Time,25/05/2022 
137,Branch Managers / In - Charge,Asia Asset Finance PLC,"Colombo,Kandy,Jaff...",Full-Time,16/05/2022 
138,ගෘහ විදුලි උපකරණ කාර්මික ශිල්පීන් - Household Electrical Appliances Technician | Wellawatta,Abans PLC,Colombo,Full-Time,25/05/2022 
139,Customer Relations Executives,Abans PLC,Gampaha,Full-Time,25/05/2022 
140,Pastry Kitchen - Sous Chef - Commis I,Jagro (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
141,Cooks / Waiters,Redbox,Colombo,Full-Time,25/05/2022 
142,Junior Customer Care Executive,Abans PLC,Colombo,Full-Time,25/05/2022 
143,Assistant Manager - CRM & Data Analytics,Pizza Hut Sri Lanka,Colombo,Full-Time,25/05/2022 
144,Associate Manager - Internal Audit - Darley Road Insurance Premises,LOLC Holdings PLC,Colombo,Full-Time,25/05/2022 
145,Business System Analyst - Life Insurance,LOLC Holdings PLC,Colombo,Full-Time,25/05/2022 
146,Executive - Operations,Abans PLC,Colombo,Full-Time,25/05/2022 
147,ගබඩා සහයක / සහයිකා -| Warehouse Assistant (ACCOMMODATION PROVIDED),John Keells Logistics (Pvt) Ltd,IslandWide,Full-Time,25/05/2022 
148,Technical Officer,Softlogic Retail (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
149,Engineering / Maintenance Coordinator  - Office In Charge (HVAC & R),GTA Refrigeration Private Limited,Colombo,Full-Time,25/05/2022 
150,Analyst - Personal Finance,PlanLogic,Colombo,Full-Time,25/05/2022 
151,Project Manager,DMS Software Technologies (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
152,Java Developer,BlueRipples Technologies Global Ltd,"WorkingFromHome,I...",Full-Time,25/05/2022 
153,Brand Manager,Unilever Sri Lanka,Colombo,Full-Time,25/05/2022 
154,Customer Relation Officers/ Trainees - Male/Female,Kangaroo Cabs (Pvt) Ltd,Colombo,Full-Time,11/05/2022 
155,Crew Member - (Full Time) - Ragama,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 
156,Manager Trainee – 28 Nos. / Saudi Arabia,FHS Travels & Tours,"ForeignJob,Island...",Full-Time,25/05/2022 
157,Senior Software Engineers / Software Engineers (.NET),DMS Software Technologies (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
158,Crew Member - (Full Time) - Kolonnawa ,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 
159,Business Analyst,DMS Software Technologies (Pvt) Ltd,Colombo,Full-Time,25/05/2022 
160,Software Engineer (Angular / Node),MyTech Jobs,Colombo,Full-Time,25/05/2022 
161,Crew Members - Rajagiriya / Mount Lavinia / Colombo 03,Subway Development Pvt Ltd,Colombo,Full-Time,25/05/2022 
162,Operation Supervisor - Rajagiriya,John Keells Logistics (Pvt) Ltd,"Colombo,Gampaha",Full-Time,25/05/2022 
163,Senior .Net Engineer,MyTech Jobs,Colombo,Full-Time,25/05/2022 
164,Crew Member - (Full Time) - Mathugama ,Domino's Pizza Sri Lanka,Kalutara,Full-Time,25/05/2022 
165,Crew Member - (Full Time) - Katugasthota,Domino's Pizza Sri Lanka,Kandy,Full-Time,25/05/2022 
166,Software Engineers - Laravel,MyTech Jobs,Colombo,Full-Time,25/05/2022 
167,Software Engineer (.NET CORE/VUEJS),MyTech Jobs,Colombo,Full-Time,25/05/2022 
168,Crew Member - (Full Time) - Kotahena ,Domino's Pizza Sri Lanka,Colombo,Full-Time,25/05/2022 
169,Crew Member - (Full Time) - Nittambuwa,Domino's Pizza Sri Lanka,Gampaha,Full-Time,25/05/2022 
170,Senior Software Engineer - (.NET Core/Angular),MyTech Jobs,Colombo,Full-Time,25/05/2022 
171,Senior Sales Executive (Real Estate),Vogue Real Estate (Pvt) Ltd,Colombo,Full-Time,20/05/2022 
172,Associate Tech Lead - AWS / Data Analysis / Machine Learning,MyTech Jobs,Colombo,Full-Time,25/05/2022 
173,Senior Software Engineer (PHP-Laravel),MyTech Jobs,Colombo,Full-Time,25/05/2022 
174,Support Services Manager,Soundmouse - A High Tech UK Company,Colombo,Full-Time,25/05/2022 
175,Fund Administrator,HSBC Bank,Colombo,Full-Time,25/05/2022 
176,Management Trainee : Marketing ,Emerging Media,Colombo,Full-Time,25/05/2022 
177,Digital Marketing Executive,Emerging Media,Colombo,Full-Time,25/05/2022 
178,Customer Service Executives,HSBC Bank,Colombo,Full-Time,25/05/2022 
179,Data Analyst,MyTech Jobs,Colombo,Full-Time,25/05/2022 
180,Delivery Managers / Delivery Leads - Fixed Income and Credit Research ,Acuity Knowledge Partners,Colombo,Full-Time,25/05/2022 
181,Client Relationship Executive ,Premium Support,Colombo,Full-Time,25/05/2022 
182,Manager - Study Abroad,SEI Campus,Colombo,Full-Time,25/05/2022 
183,Delivery Managers / Delivery Leads – Investment Research,Acuity Knowledge Partners,Colombo,Full-Time,25/05/2022 
184,Senior QA Lead,Acuity Knowledge Partners,Colombo,Full-Time,25/05/2022 
185,Customer Care Executive,Konnect BPO,Colombo,Full-Time,25/05/2022 
186,HR recruiter,ABC Hostig Ltd,"WorkingFromHome,I...",Full-Time,23/05/2022 
187,Intern - HR ,Ideal Group,Colombo,Full-Time,25/05/2022 
188,Deputy Analyst (Junior Executive) – Procurement ,Accenture Lanka,Gampaha,Full-Time,25/05/2022 
189,.NET Full Stack Developer,Acuity Knowledge Partners,Colombo,Full-Time,25/05/2022 
190,Delivery Rider (Full- Time) - Delgoda,Pizza Hut Sri Lanka,Colombo,Full-Time,13/05/2022 
191,Delivery Riders - Colombo District (Male/Female) - Pickme Food,PickMe,Colombo,Full-Time,16/05/2022 
192,Delivery Riders - (Full-Time) - Kottawa | Male TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,19/05/2022 
193,Delivery Rider (Full- Time) - Horana,Pizza Hut Sri Lanka,Gampaha,Full-Time,13/05/2022 
194,Delivery Rider (Full- Time) - Mount Lavinia ( TACO BELL),Pizza Hut Sri Lanka,Colombo,Full-Time,20/05/2022 
195,Market Specialist (Education),BA Training Group,Colombo,Full-Time,25/05/2022 
196,Telesales Executive,BA Training Group,"Colombo,WorkingFro...",Full-Time,25/05/2022 
197,Market Analyst (Education),BA Training Group,Colombo,Full-Time,25/05/2022 
198,Sales Specialist,BA Training Group,Colombo,Full-Time,25/05/2022 
199,Delivery Riders - Gampaha (Male/Female) - Pickme Food,PickMe,Gampaha,Full-Time,16/05/2022 
200,Executive Customer Care,Bellvantage (Pvt) Ltd,Colombo,Full-Time or Part-Time,16/05/2022 
201,Associate Tech Lead – .NET,Rootcode (Pvt) Ltd,Colombo,Full-Time,16/05/2022 
202,Graphic Designer,NEOMED INTERNATIONAL,Colombo,Full-Time,12/05/2022 
203,Trainee Call Center Executive ,S.A.Knowledge Services (Pvt) Ltd,Colombo,Urgent,19/05/2022 
204,Associate HR Executive,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,25/05/2022 
205,Call Center Representatives - Boralesgamuwa ,DIVANJ,Colombo,Full-Time,24/05/2022 
206,Lead Generation Associate,First Notch (Pvt) Ltd,Colombo,Full-Time,24/05/2022 
207,Sales Officer - Colombo ,Dialog Finance PLC,Colombo,Full-Time,25/05/2022 
208,Intern - Admin / Operations ,John Keells Office Automation (Pvt) Ltd.,Colombo,Full-Time,19/05/2022 
209,Customer Service Executive,First Notch (Pvt) Ltd,Colombo,Full-Time,12/05/2022 
210,Trainee Sales Officers - Western Province,Dialog Finance PLC,"Colombo,Gampaha,Ka...",Full-Time,25/05/2022 
211,Photoshop Image Editor / Retoucher (WORK FROM HOME),Looklet,"Colombo,WorkingFro...",Full-Time,16/05/2022 
212,Analyst - F&A (Oder to Cash),Accenture Lanka,Colombo,Full-Time,12/05/2022 
213,Senior Analyst – Business Transformation | Ekala - Ja Ela,Accenture Lanka,Gampaha,Full-Time,12/05/2022 
214,Senior Dev-ops / Cloud Infrastructure Engineer,Creative Software,Colombo,Full-Time,25/05/2022 
215,Senior Technical Lead / Technical Lead,Creative Software,Colombo,Full-Time,25/05/2022 
216,Claims Processing Agent | හිමිකම් සැකසුම් නියෝජිත,oDoc,"Kandy,Galle,Anurad...",Part-Time,16/05/2022 
217,Business Development Executive,Hitachi Digital Payment Solutions Limited,Colombo,Full-Time,25/05/2022 
218,Product Manager ,Creative Software,Colombo,Full-Time,25/05/2022 
219,Python Web Developer ,Creative Software,Colombo,Full-Time,25/05/2022 
220,Associate Technical Lead (.NET / .NET Core) ,Creative Software,Colombo,Full-Time,25/05/2022 
221,Graphic Designer / Digital Content Creator,Creative Software,Colombo,Full-Time,25/05/2022 
222,Senior DevOps Engineer,Creative Software,Colombo,Full-Time,25/05/2022 
223,Software Engineer (.NET Core) ,Creative Software,Colombo,Full-Time,25/05/2022 
224,Product Owner ,Creative Software,Colombo,Full-Time,25/05/2022 
225,Technical Lead (.NET Core | React),Creative Software,Colombo,Full-Time,25/05/2022 
226,Lead Devops Engineer ,Creative Software,Colombo,Full-Time,25/05/2022 
227,Lead / Senior IFS Technical Consultant,Creative Software,Colombo,Full-Time,25/05/2022 
228,Business Analyst,HCL Technologies Lanka (Private) Limited,Colombo,Full-Time,25/05/2022 
229,Accounts Assistant,Creative Software,Colombo,Full-Time,25/05/2022 
230,Walk In Interview : Customer Service Assistant / Cashier / Hot Kitchen / Bakery | Galle,Keells ,Galle,Full-Time,12/05/2022 
231,පාරිභෝගික සේවා සහායක- (Customer Service Assistant) | Islandwide,LAUGFS Super,IslandWide,Urgent,17/05/2022 
232,Manager - Business Analytics,Unilever Sri Lanka,Colombo,Full-Time,12/05/2022 
233,Staff Nurses,Hemas Hospitals Pvt Ltd,"Gampaha,Colombo",Full-Time,13/05/2022 
234, ඖෂධවේදීන් -  Pharmacist /  ඖෂධවේදී සහායකයින් -  Pharmacy Assistant | Islandwide,LAUGFS Super,"Colombo,IslandWide",Urgent,17/05/2022 
235,Junior Executive - Procurement ,Accenture Lanka,Colombo,Full-Time,20/05/2022 
236,Front of House ,Cafe Kumbuk,Colombo,Full-Time,25/05/2022 
237,Intern - Technical,John Keells Office Automation (Pvt) Ltd.,Colombo,Urgent,19/05/2022 
238,Node.js Developer,Yugasa Software Labs Pvt Ltd,Colombo,Full-Time,22/05/2022 
239,Manager Quality Assurance and Product Development | Wariyapola,Tropicoir Lanka (Pvt) Ltd,"Colombo,Kurunagala",Full-Time,12/05/2022 
240,Executive Software Developer,Ideal Group,Colombo,Full-Time,25/05/2022 
241,Software Engineers - PHP,Armia Systems (Pvt) Ltd,"Colombo,WorkingFro...",Full-Time,25/05/2022 
242,Customer Service Executive (Male/Female),Copreus (Pvt) Ltd,Colombo,Full-Time,19/05/2022 
243,Information Technology Officer,Pizza Hut Sri Lanka,Colombo,Full-Time,25/05/2022 
244,Business Analyst Cum IT Solutions Architect,Abans PLC,Colombo,Full-Time,25/05/2022 
245,Senior Marketing Executive | AMW Capital Leasing Plc | Nugegoda,AMW Capital Leasing & Finance PLC,Colombo,Full-Time,10/06/2022 
246,Senior HR Projects Executive,Unilever Sri Lanka,Colombo,Contract Basis,13/05/2022 
247,Senior Retail Sales Associates (Credit Cards) ,HSBC Sri Lanka,Colombo,Full-Time,12/05/2022 
248,Senior Cashier - Finance | AMW | Union Place,Associated Motorways (Pvt) Limited (AMW),Colombo,Full-Time,09/06/2022 
249,Bodyshop Incharge - Puttalam,Ideal Group,Puttalam,Full-Time,25/05/2022 
250,Delivery Handling Supervisor - Colombo,Pizza Hut Sri Lanka,Colombo,Full-Time,24/05/2022 
251,Customer Service Executive/ Managers,Nexa One Pty Ltd,Colombo,Full-Time,24/05/2022 
252,Senior Software Engineer (.NET),Cloud Permits,Colombo,Full-Time,24/05/2022 
253,Showroom Sales Executive | Female,Prudential International (Pvt) Ltd,Colombo,Full-Time,24/05/2022 
254,Interior Designer,ODEL PLC,Colombo,Full-Time,25/05/2022 
255,Vacancies for School Leavers,Durdans Hospital,Colombo,Full-Time,20/05/2022 
256,Merchandiser,ODEL PLC,Colombo,Full-Time,25/05/2022 
257,Fashion Sales Executive ,ODEL PLC,Colombo,Full-Time,25/05/2022 
258,Software Engineer (.NET),Cloud Permits,Colombo,Full-Time,24/05/2022 
259,Cooks ,SUPERFOOD,Colombo,Full-Time,24/05/2022 
